   #Clust  Clust1:     Clust2:    Dist. based

    15       2          12              0.886
    15       2          13              0.827
    15       2          14              0.881
    15       2          15              0.816
    15       3           4              0.743
    15       3           5              0.854
    15       3           6              0.665
    15       3           7              0.774
    15       3           8              0.807
    15       3           9              0.794
    15       3          10              0.858
    15       3          11              0.721
    15       3          12              0.592
    15       3          13              0.679
    15       3          14              0.732
    15       3          15              0.391
    15       4           5              0.810
    15       4           6              0.489
    15       4           7              0.674
    15       4           8              0.704
    15       4           9              0.801
    15       4          10              0.783
    15       4          11              0.790
    15       4          12              0.742
    15       4          13              0.738
    15       4          14              0.675
    15       4          15              0.586
    15       5           6              0.741
    15       5           7              0.664
    15       5           8              0.461
    15       5           9              0.897
    15       5          10              0.549
    15       5          11              0.879
    15       5          12              0.880
    15       5          13              0.728
    15       5          14              0.876
    15       5          15              0.806
    15       6           7              0.310
    15       6           8              0.607
    15       6           9              0.821
    15       6          10              0.746
    15       6          11              0.798
    15       6          12              0.764
    15       6          13              0.459
    15       6          14              0.749
    15       6          15              0.135
    15       7           8              0.372
    15       7           9              0.870
    15       7          10              0.683
    15       7          11              0.847
    15       7          12              0.837
    15       7          13              0.564
    15       7          14              0.828
    15       7          15              0.651
    15       8           9              0.871
    15       8          10              0.295
    15       8          11              0.854
    15       8          12              0.847
    15       8          13              0.694
    15       8          14              0.836
    15       8          15              0.721
    15       9          10              0.896
    15       9          11              0.332
    15       9          12              0.478
    15       9          13              0.851
    15       9          14              0.580
    15       9          15              0.787
    15      10          11              0.882
    15      10          12              0.882
    15      10          13              0.785
    15      10          14              0.872
    15      10          15              0.795
    15      11          12              0.348
    15      11          13              0.821
    15      11          14              0.657
    15      11          15              0.761
    15      12          13              0.783
    15      12          14              0.384
    15      12          15              0.681
    15      13          14              0.815
    15      13          15              0.435
    15      14          15              0.708

    16       1           2              0.817
    16       1           3              0.666
    16       1           4              0.183
    16       1           5              0.854
    16       1           6              0.586
    16       1           7              0.742
    16       1           8              0.832
    16       1           9              0.712
    16       1          10              0.818
    16       1          11              0.720
    16       1          12              0.591
    16       1          13              0.750
    16       1          14              0.408
    16       1          15              0.556
    16       1          16              0.826
    16       2           3              0.881
    16       2           4              0.783
    16       2           5              0.794
    16       2           6              0.773
    16       2           7              0.754
    16       2           8              0.688
    16       2           9              0.907
    16       2          10              0.454
    16       2          11              0.886
    16       2          12              0.886
    16       2          13              0.827
    16       2          14              0.881
    16       2          15              0.816
    16       2          16              0.571
    16       3           4              0.743
    16       3           5              0.861
    16       3           6              0.665
    16       3           7              0.774
    16       3           8              0.852
    16       3           9              0.794
    16       3          10              0.867
    16       3          11              0.721
    16       3          12              0.592
    16       3          13              0.679
    16       3          14              0.732
    16       3          15              0.391
    16       3          16              0.852
    16       4           5              0.829
    16       4           6              0.489
    16       4           7              0.675
    16       4           8              0.791
    16       4           9              0.801
    16       4          10              0.793
    16       4          11              0.790
    16       4          12              0.742
    16       4          13              0.738
    16       4          14              0.675
    16       4          15              0.586
    16       4          16              0.731
    16       5           6              0.767
    16       5           7              0.705
    16       5           8              0.438
    16       5           9              0.907
    16       5          10              0.619
    16       5          11              0.889
    16       5          12              0.892
    16       5          13              0.740
    16       5          14              0.888
    16       5          15              0.826
    16       5          16              0.682
    16       6           7              0.310
    16       6           8              0.716
    16       6           9              0.821
    16       6          10              0.760
    16       6          11              0.798
    16       6          12              0.764
    16       6          13              0.459
    16       6          14              0.749
    16       6          15              0.135
    16       6          16              0.638
    16       7           8              0.571
    16       7           9              0.870
    16       7          10              0.704
    16       7          11              0.848
    16       7          12              0.838
    16       7          13              0.564
    16       7          14              0.828
    16       7          15              0.651
    16       7          16              0.417
    16       8           9              0.902
    16       8          10              0.342
    16       8          11              0.884
    16       8          12              0.885
    16       8          13              0.731
    16       8          14              0.877
    16       8          15              0.806
    16       8          16              0.340
    16       9          10              0.902
    16       9          11              0.332
    16       9          12              0.478
    16       9          13              0.851
    16       9          14              0.580
    16       9          15              0.787
    16       9          16              0.891
    16      10          11              0.888
    16      10          12              0.889
    16      10          13              0.788
    16      10          14              0.878
    16      10          15              0.807
    16      10          16              0.404
    16      11          12              0.348
    16      11          13              0.821
    16      11          14              0.657
    16      11          15              0.761
    16      11          16              0.874
    16      12          13              0.783
    16      12          14              0.384
    16      12          15              0.681
    16      12          16              0.871
    16      13          14              0.815
    16      13          15              0.435
    16      13          16              0.736
    16      14          15              0.708
    16      14          16              0.870
    16      15          16              0.742

    17       1           2              0.817
    17       1           3              0.666
    17       1           4              0.183
    17       1           5              0.854
    17       1           6              0.586
    17       1           7              0.742
    17       1           8              0.832
    17       1           9              0.802
    17       1          10              0.818
    17       1          11              0.741
    17       1          12              0.590
    17       1          13              0.750
    17       1          14              0.405
    17       1          15              0.556
    17       1          16              0.826
    17       1          17              0.711
    17       2           3              0.881
    17       2           4              0.783
    17       2           5              0.794
    17       2           6              0.773
    17       2           7              0.754
